Status,ItemCode,DocDate,WhsCode,VarianceValue,VariancePercent,QtyCount2,QtyCount1,QtyCount4,QtyCount3,ItemClosed,QtyStock,QtyCount5,QtyFinal,ItemName,Id,DocNum,metadata_fecha_consulta
Ok,10007035,2025-09-05,1145,0,0.0,,15.0,,,SI,15.0,,15.0,INTERVINIL PRO 400 BLANCO 2501 CUNETE 10289238,1188313,514949,2025-09-06 23:04:09
Ok,10007069,2025-09-05,1145,0,0.0,,11.0,,,SI,11.0,,11.0,ESMALTE ICOMAX NEGRO CUARTO 1/4 DE GALON,1188321,514949,2025-09-06 23:04:09
Ok,10007070,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,ESMALTE ICOMAX CAOBA GALON 1 GALON,1188322,514949,2025-09-06 23:04:09
Ok,10007071,2025-09-05,1145,0,0.0,,9.0,,,SI,9.0,,9.0,ESMALTE ICOMAX CAOBA CUARTO 1/4 DE GALON,1188323,514949,2025-09-06 23:04:09
Ok,10007077,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,ESMALTE ICOMAX BLANCO CUARTO 1/4 DE GALON,1188325,514949,2025-09-06 23:04:09
Ok,10007156,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,PASTA PULIDORA BLANCO 120025 1/4 GALON,1188344,514949,2025-09-06 23:04:09
Ok,10007159,2025-09-05,1145,0,0.0,,58.0,,,SI,58.0,,58.0,PRIMER ANTICORROSIVO VERDE OLIVA 513 GALON,1188346,514949,2025-09-06 23:04:09
Ok,10007317,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,THINER EN TAMBOR 52 GALONES,1188362,514949,2025-09-06 23:04:09
Ok,10007319,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,VARSOL EN TAMBOR,1188364,514949,2025-09-06 23:04:09
Ok,10007357,2025-09-05,1145,0,0.0,,120.0,,,SI,120.0,,120.0,RODILLO JUNIOR 1 1/2''1141,1188368,514949,2025-09-06 23:04:09
Ok,10007460,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,SILICONITE 10 TRANSPARENTE 3104 CANECA 5 GLNS CUNETE 1034227,1188392,514949,2025-09-06 23:04:09
Ok,10007463,2025-09-05,1145,0,0.0,,28.0,,,SI,28.0,,28.0,ESTUCOMASTIC BLANCO 18070 GALON 5 KG 10359542,1188393,514949,2025-09-06 23:04:09
Ok,10013482,2025-09-05,1145,0,0.0,,170.0,,,SI,170.0,,170.0,ESQUINERO PLASTICO BLANCO REF EQ019302,1189069,514949,2025-09-06 23:04:09
Ok,10013569,2025-09-05,1145,0,0.0,,438.0,,,SI,438.0,,438.0,SIKAWALL-330 ESTUKA ACRILICO CANECA DE 30KG,1189070,514949,2025-09-06 23:04:09
Ok,10015800,2025-09-05,1145,0,0.0,,51.0,,,SI,51.0,,51.0,TEJA CLARABOYA ETERNIT P7 #6 SIN GANCHOS 1315884,1189222,514949,2025-09-06 23:04:09
Ok,10016024,2025-09-05,1145,0,0.0,,48.0,,,SI,48.0,,48.0,TEJA CLARABOYA ETERNIT P7 #4 SIN GANCHOS 1315883,1189237,514949,2025-09-06 23:04:09
Ok,10016196,2025-09-05,1145,0,0.0,,98.0,,,SI,98.0,,98.0,PINTUCO FIX PROFESSIONAL BLANCO 3114 CARTUCHO 280 ML,1189242,514949,2025-09-06 23:04:09
Ok,10016596,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,SEPAROL N MO TAMBOR 200 KG REF 618650,1189256,514949,2025-09-06 23:04:09
Ok,10016642,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,CONSTRUCLEANER LIMPIADOR DESENGRASANTE 3100 CANECA 5 GALONES,1189261,514949,2025-09-06 23:04:09
Ok,10018546,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,SIKASEAL-119 SISMO X 5 GL,1189270,514949,2025-09-06 23:04:09
Ok,10019654,2025-09-05,1145,0,0.0,,45.0,,,SI,45.0,,45.0,SIKAMASTIC BOLSA X 20 KG,1189326,514949,2025-09-06 23:04:09
Ok,10020021,2025-09-05,1145,0,0.0,,3.0,,,SI,3.0,,3.0,LLAVE DESTAPACUÑETES,1189348,514949,2025-09-06 23:04:09
Ok,10021296,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,SIKASEAL-119 SISMO X 1 GL,1189465,514949,2025-09-06 23:04:09
Ok,10022427,2025-09-05,1145,0,0.0,,380.0,,,SI,380.0,,380.0,TEJA FLEXIFORTE ETERNIT #6 P7 1.83 MTS 1321786,1189572,514949,2025-09-06 23:04:09
Ok,10022428,2025-09-05,1145,0,0.0,,434.0,,,SI,434.0,,434.0,TEJA FLEXIFORTE ETERNIT #8 P7 2.44 MTS 1321788,1189573,514949,2025-09-06 23:04:09
Faltante,10022429,2025-09-05,1145,3,0.005016722408026756,23.0,595.0,,,SI,598.0,,595.0,TEJA FLEXIFORTE ETERNIT #10 P7 3.05 MTS 1321799,1189574,514949,2025-09-06 23:04:09
Ok,10022430,2025-09-05,1145,0,0.0,,224.0,,,SI,224.0,,224.0,TEJA FLEXIFORTE ETERNIT #4 P7 1.22 MTS 1321784,1189575,514949,2025-09-06 23:04:09
Sobrante,10022431,2025-09-05,1145,1,0.0051282051282051,63.0,196.0,,,SI,195.0,,196.0,TEJA FLEXIFORTE ETERNIT #5 P7 1.52 MTS 1321785,1189576,514949,2025-09-06 23:04:09
Ok,10022459,2025-09-05,1145,0,0.0,,3.0,,,SI,3.0,,3.0,KIT NI PINTUCOAT BLANCO 13221 EN 0.91 GL Y CATAL 13227 EN 0.09 GL,1189582,514949,2025-09-06 23:04:09
Ok,10024877,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,SIKAMONOTOP-123 MUROS 1 X 15KG - 657416,1189756,514949,2025-09-06 23:04:09
Ok,10025302,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,NOVAFLEX VINILO TIPO 3 BLANCO 5G,1189790,514949,2025-09-06 23:04:09
Ok,10025303,2025-09-05,1145,0,0.0,,687.0,,,SI,687.0,,687.0,NOVAFLEX RESINA ACRILICA AL 50% 750GR,1189791,514949,2025-09-06 23:04:09
Ok,10025640,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,NOVAFLEX ESTUCO ACRILICO EXTERIOR-INTERIOR 27 KG,1189795,514949,2025-09-06 23:04:09
Ok,10025655,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,COLORMAGIC VINILO TIPO 2 BLANCO ARENA 5G,1189796,514949,2025-09-06 23:04:09
Ok,10026433,2025-09-05,1145,0,0.0,,6.0,,,SI,6.0,,6.0,CANASTILLA NOVAFLEX PARA RECINA ACRILICA,1189820,514949,2025-09-06 23:04:09
Ok,10026671,2025-09-05,1145,0,0.0,,9.0,,,SI,9.0,,9.0,SIKA-3 DE 2.3 KG ACELERANTE PARA MORTERO 626421,1189865,514949,2025-09-06 23:04:09
Ok,10026672,2025-09-05,1145,0,0.0,,21.0,,,SI,21.0,,21.0,PLASTOCRETE DM 2.3 KG 615247,1189866,514949,2025-09-06 23:04:09
Ok,10026754,2025-09-05,1145,0,0.0,,50.0,,,SI,50.0,,50.0,TEJA MASTER 1000 CAL 28. GALVANIZADA 1 X 6 MT METALUM,1189884,514949,2025-09-06 23:04:09
Ok,10028421,2025-09-05,1145,0,0.0,,10.0,,,SI,10.0,,10.0,AUTOMOTRIZ MASILLA POLIESTER P1500 3.7 KG EN ENVASE DE GALON,1190071,514949,2025-09-06 23:04:09
Ok,10029174,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,ESMALTE POLIURETANO BLANCO 11320 RAL 9010 GALON,1190108,514949,2025-09-06 23:04:09
Ok,10030145,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,ESMALTE PINTULUX MP ANOLOC CHAMPAGNE 12164 - 82 1/4 GL,1190239,514949,2025-09-06 23:04:09
Ok,10030148,2025-09-05,1145,0,0.0,,3.0,,,SI,3.0,,3.0,ESGRAFIADO PREMIUM 30497 BASE NEUTRA 1 GL,1190242,514949,2025-09-06 23:04:09
Ok,10030788,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,"SIKAPLAST-123 UNIVERSAL /12X2,2KG",1190309,514949,2025-09-06 23:04:09
Ok,10030801,2025-09-05,1145,0,0.0,,28.0,,,SI,28.0,,28.0,SIKASIL UNIVERSAL WHITE C5006 /12 CTR280,1190315,514949,2025-09-06 23:04:09
Ok,10030992,2025-09-05,1145,0,0.0,,249.0,,,SI,249.0,,249.0,RODILLO FELPA SPAR 9'',1190382,514949,2025-09-06 23:04:09
Ok,10031736,2025-09-05,1145,0,0.0,,1.0,,,SI,1.0,,1.0,PAGUE 4 TARROS X 1 GAL DE SIKAWALL-330 ESTUKA ACRÍLICO Y LLEVE GRATIS 1 UNIDAD DE 0.25 GAL.,1190473,514949,2025-09-06 23:04:09
Ok,10031743,2025-09-05,1145,0,0.0,,19.0,,,SI,19.0,,19.0,CINTA DE ENMASCARAR DE 1 PULGADA POR 40 METROS,1190478,514949,2025-09-06 23:04:09
Ok,10023857,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,CORROTEC ANTICORROSIVO PREMIUM NEGRO 200 GALON,1189687,514949,2025-09-06 23:04:09
Ok,10023874,2025-09-05,1145,0,0.0,,2.0,,,SI,2.0,,2.0,KIT PINTUCOAT AZUL 13231 EN 0.91 1 GL Y CATAL 13227 EN 0.09 1 GL,1189688,514949,2025-09-06 23:04:09
Ok,10032748,2025-09-05,1145,0,0.0,,101.0,,,SI,101.0,,101.0,IQ ICO PINTA MÁS MAT BLANCO 18.9,1190611,514949,2025-09-06 23:04:09
Ok,10032749,2025-09-05,1145,0,0.0,,204.0,,,SI,204.0,,204.0,IQ ICO PINTA MÁS MAT BLANCO 3.79,1190612,514949,2025-09-06 23:04:09
Ok,10033907,2025-09-05,1145,0,0.0,,7.0,,,SI,7.0,,7.0,PQ DECORATEX 15.52L 30K,1190794,514949,2025-09-06 23:04:09
Ok,10033908,2025-09-05,1145,0,0.0,,4.0,,,SI,4.0,,4.0,ACROLATEX 50 3508 ANTES TEXACRYL 4 KG,1190795,514949,2025-09-06 23:04:09
