civi_handling_unit,cstb_column,citm_name1,csts_name,civi_entry_date,civi_primary_qty_reserved,civi_primary_qty,civi_secondary_uom_code,csbt_name,civi_storagebin_code,citm_code2,citm_code1,civi_organization_id,civi_primary_qty_available,civi_secondary_qty,civi_stock_type_code,civi_id,cstt_name,cstb_line,cstb_level,civi_expiration_date,citm_packaging,civi_onset_date,civi_warehouse_code,civi_batch_number,civi_primary_uom_code,metadata_fecha_consulta
193347,3.0,PINTURAMA BLANCO 117800 BALDE 2.5 GALONES,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,1.0,,Large Shelf,F18M3A10IZQ,,10006367,98,1.0,,01,897373,Estantería pesada,18,10.0,2028-06-30,,,1145,,Und,2025-09-06 23:29:24
163276,4.0,CANTO PVC INTRAPLAS RIVIERA 19X0.45 MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,224.0,,Large Shelf,F21M4A10DER,,10030233,98,224.0,,01,897383,Estantería pesada,21,10.0,,,,1145,,Metro,2025-09-06 23:29:24
162409,3.0,CANTO PVC INTRAPLAS BLANCO 19X1.5 MM 100mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,100.0,,Large Shelf,F20M3A10IZQ,,10003781,98,100.0,,01,897387,Estantería pesada,20,10.0,,,,1145,,Metro,2025-09-06 23:29:24
193348,6.0,VINILICO BLANCO 2027155 BALDE 2.5 GALONES,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,28.0,,Large Shelf,F19M6A10IZQ,,10007119,98,28.0,,01,897385,Estantería pesada,19,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
193566,8.0,FL-50 PRO EMULSION ASFALTICA CUÑETE 5 GAL,SIKAS PEGANTES,2024-09-18,0.0,4.0,,Large Shelf,F13M8A30DER,,10003552,98,4.0,,08,897424,Montacargas,13,30.0,2025-08-18,,,1145,,Und,2025-09-06 23:29:24
162330,6.0,CANTO PVC INTRAPLAS GRAFFO 19X0.45MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,480.0,,Large Shelf,F20M6A60IZQ,,10026776,98,480.0,,01,897405,Estantería pesada,20,60.0,,,,1145,,Metro,2025-09-06 23:29:24
159358,5.0,CANTO PVC INTRAPLAS ARENA 22X0.45 MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,480.0,,Large Shelf,F20M5A20IZQ,,10003768,98,480.0,,01,897408,Estantería pesada,20,20.0,,,,1145,,Metro,2025-09-06 23:29:24
161160,6.0,CANTO PVC INTRAPLAS VIENES (Encino caribe) 19X0.45MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,240.0,,Large Shelf,F20M6A40DER,,10003898,98,240.0,,01,897410,Estantería pesada,20,40.0,,,,1145,,Metro,2025-09-06 23:29:24
193563,3.0,CONCOLOR MAX GRIS CLARO X 2 KG 903261511,SIKAS PEGANTES,2024-08-13,0.0,11.0,,Large Shelf,F12M3A30DER,,10020002,98,11.0,,08,897416,Montacargas,12,30.0,2025-04-30,,,1145,'12791302,Und,2025-09-06 23:29:24
193563,3.0,CONCOLOR MAX GRIS CLARO X 2 KG 903261511,SIKAS PEGANTES,2024-06-27,0.0,5.0,,Large Shelf,F12M3A30DER,,10020002,98,5.0,,08,897417,Montacargas,12,30.0,2025-05-30,,,1145,12815355,Und,2025-09-06 23:29:24
162330,6.0,CANTO PVC INTRAPLAS GRAFFO 19X0.45MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,431.0,,Large Shelf,F20M6A60IZQ,,10026776,98,431.0,,01,897404,Estantería pesada,20,60.0,,,,1145,,Metro,2025-09-06 23:29:24
193565,6.0,SIKA TECHO E DE 1.6 KG,"SIKA PINTURAS , HERRAMIENTA",2024-09-07,0.0,8.0,,Large Shelf,F17M6A30DER,,10019062,98,8.0,,08,897421,Estantería pesada,17,30.0,2025-08-30,,,1145,3008973705,Und,2025-09-06 23:29:24
193563,3.0,CONCOLOR JUNTA ESTRECHA BLANCO ANTIGUO 5 KG 903051231,SIKAS PEGANTES,2025-02-18,0.0,2.0,,Large Shelf,F12M3A30DER,,10001417,98,2.0,,08,897415,Montacargas,12,30.0,2025-05-30,,,1145,12819381,Und,2025-09-06 23:29:24
193565,6.0,SIKA TECHO E DE 1.6 KG,"SIKA PINTURAS , HERRAMIENTA",2024-11-15,0.0,8.0,,Large Shelf,F17M6A30DER,,10019062,98,8.0,,08,897422,Estantería pesada,17,30.0,2025-08-30,,,1145,3008973705,Und,2025-09-06 23:29:24
193568,8.0,FL-50 PRO EMULSION ASFALTICA CUÑETE 5 GAL,SIKAS PEGANTES,2024-09-18,0.0,19.0,,Large Shelf,F13M8A30IZQ,,10003552,98,19.0,,08,897426,Montacargas,13,30.0,2025-08-18,,,1145,,Und,2025-09-06 23:29:24
162528,7.0,ESPATULA CABO PLASTICO L.E 3'' 3346,"GRIVAL ,FERRETERIA",2025-07-03,0.0,10.0,,Large Shelf,F25M7A50IZQ,,10007382,98,10.0,,01,856751,Estantería pesada,25,50.0,,,,1145,,Und,2025-09-06 23:29:24
159550,5.0,ESMALTE PINTULUX TEU AMARILLO 18 CUARTO 1/4 CUARTO,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,9.0,,Large Shelf,F18M5A40DER,,10006315,98,9.0,,01,897463,Estantería pesada,18,40.0,2027-02-28,,,1145,,Und,2025-09-06 23:29:24
163583,5.0,LAVAPLATOS SENCILLO 55x43cm GRAFADO Ref: 204804,PEGANTES Y HERRAMIENTAS,2025-03-13,0.0,6.0,,Large Shelf,F13M5A50IZQ,,10004936,98,6.0,,01,725300,Estantería pesada,13,50.0,,,,1145,,Und,2025-09-06 23:29:24
193206,20.0,TRIPLEX PINO FENOLICO IMPORTADO 122X244X12,MADERAS TORRES,2025-08-02,0.0,160.0,,Large Shelf,F5M20A10,,10008623,98,160.0,,01,897477,Montacargas,5,10.0,,,,1145,,Lámina,2025-09-06 23:29:24
181161,4.0,CANTO PVC INTRAPLAS FLORMORADO 19X0.45 MM 240mxRollo,HERRAJES,2025-03-18,0.0,1.0,,Large Shelf,F2M4A70DER,,10031492,98,1.0,,08,905266,Estantería pesada,2,70.0,,,,1290,,Metro,2025-09-06 23:29:24
181166,3.0,CANTO PVC INTRAPLAS MERIL TEXSTONE 19X1.5 MM 100mxRollo,HERRAJES,2023-11-19,0.0,306.0,,Large Shelf,F2M3A70DER,,10027456,98,306.0,,08,905270,Estantería pesada,2,70.0,,,,1290,,Metro,2025-09-06 23:29:24
191671,8.0,MELAMINICO UNICOR MDF RH ARENA TEX FOREST 183X244X5.5 1C/ SIN BACKER,MADERAS TORRES,2025-07-07,0.0,19.0,,Large Shelf,F1M8A10,,10029396,98,19.0,,01,916853,Montacargas,1,10.0,,,,1145,,Lámina,2025-09-06 23:29:24
191671,8.0,MELAMINICO UNICOR MDF RH ARENA TEX FOREST 183X244X5.5 1C/ SIN BACKER,MADERAS TORRES,2025-08-08,0.0,2.0,,Large Shelf,F1M8A10,,10029396,98,2.0,,01,916854,Montacargas,1,10.0,,,,1145,,Lámina,2025-09-06 23:29:24
180247,12.0,MELAMINICO SUPERCOR PB OASIS TEX FOREST 183X244X15,MADERAS ESTANTERIA,2025-07-30,0.0,29.0,,Large Shelf,F7M12A20,,10030104,98,29.0,,01,897506,Montacargas,7,20.0,,,,1290,,Lámina,2025-09-06 23:29:24
