ctsk_task_name,ctti_time_els_value,ctsk_lines,ctsk_current_value,ctsk_waiting_date,ctsk_parking_dock_code,cdct_name,ctsk_id,ctsk_document_id,ctsk_reference,ctsk_complete_date,ctsk_task_description,ctst_name,ctsk_pci,ctsk_organization_id,ctsk_target_value,ctsk_created_on,cwhs_code,ctsk_priority,ctsk_task_user,ctsk_running_date,ctsk_task_state,ctsk_planning_date,metadata_fecha_consulta
515193  -  TV 93 34 99  BRR EL TEJAR,00:43:32.257484,1.0,0.0,2025-09-05T14:55:49.635012,,CLIENTE RECOGE,231051,515193,,,,Auditoria Picking,0.0,98,800.0,2025-09-05T14:51:59.47292,1145,Normal,hpinzon,2025-09-05T14:56:10.042702,Running,2025-09-05T00:00:00,2025-09-05 15:39:43
515370  -  CLL 59 16E-39 LA ESMERALDA,,2.0,0.0,2025-09-05T14:57:30.097125,,ARDISA ENTREGA,231052,515370,,,,Auditoria Picking,0.0,98,12.0,2025-09-05T14:51:59.47292,1145,Normal,hpinzon,,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
"515193 BUC-GRIVAL-PAVCO F24,25,26,27 ",00:07:56.865133,1.0,800.0,2025-09-05T14:51:13.950195,,CLIENTE RECOGE,231050,515372,,2025-09-05T15:01:33.827454,Orden No. 500116135,Picking,1.0,98,800.0,2025-09-05T14:50:58.826495,1145,Alta,gsandoval,2025-09-05T14:53:19.137294,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
"515370 BUC-CUÑETES, PEGANTES, PINTURAS Y SIKA",,2.0,0.0,2025-09-05T14:52:14.305706,,ARDISA ENTREGA,231049,515371,,,Orden No. 883072266,Picking,0.0,98,12.0,2025-09-05T14:45:27.691372,1145,Muy baja,aanaya,,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
515366  -  CRA 16 27 65,00:43:25.84406,1.0,0.0,2025-09-05T14:49:46.855284,,VENTA PUNTUAL,231048,515366,,,,Auditoria Picking,0.0,98,2.0,2025-09-05T14:39:26.941222,1145,Normal,hpinzon,2025-09-05T14:56:16.456126,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515366 MADERA ALT 10 PICKING,00:00:28.290152,1.0,2.0,2025-09-05T14:39:37.613182,,VENTA PUNTUAL,231047,515367,,,Orden No. 144847,Picking,1.0,98,2.0,2025-09-05T14:30:18.389163,1145,Muy baja,jvaca,2025-09-05T14:43:07.876116,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
515029  -  CRA 16 27 65,00:01:00.119501,1.0,25.0,2025-09-05T14:27:57.554801,,VENTA PUNTUAL,231046,515362,,2025-09-05T14:29:24.312885,Orden No. 144795,Picking,1.0,98,25.0,2025-09-05T14:27:45.520143,1290,Muy baja,mdiaz,2025-09-05T14:28:24.193384,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
509965 TEJAS Y LAVAPLATOS,00:05:34.284397,2.0,75.0,2025-09-05T14:14:54.151917,,CLIENTE RECOGE,231044,515347,,2025-09-05T14:43:45.917144,Orden No. 500115878,Picking,1.0,98,75.0,2025-09-05T14:14:24.153083,1145,Alta,eduarte,2025-09-05T14:16:57.003715,Complete,2025-09-01T00:00:00,2025-09-05 15:39:43
"509965 BUC-CUÑETES, PEGANTES, PINTURAS Y SIKA",00:15:13.738834,7.0,48.0,2025-09-05T14:14:54.151917,,CLIENTE RECOGE,231045,515348,,2025-09-05T14:43:30.912253,Orden No. 500115878,Picking,1.0,98,48.0,2025-09-05T14:14:24.153083,1145,Alta,eduarte,2025-09-05T14:23:14.100117,Complete,2025-09-01T00:00:00,2025-09-05 15:39:43
E515346,00:06:33.499224,2.0,80.0,2025-09-05T14:44:41.580469,,Orden de Compra,231043,515346,,2025-09-05T14:58:24.22361,,Entrada de almacen,1.0,98,80.0,2025-09-05T14:11:03.408285,1145,Normal,cmendez,2025-09-05T14:51:50.724386,Complete,2025-09-13T00:00:00,2025-09-05 15:39:43
515331  -  CRA 16 27 65,01:00:30.744069,1.0,0.0,2025-09-05T14:37:33.787358,,VENTA PUNTUAL,231042,515331,,,,Auditoria Picking,0.0,98,2.0,2025-09-05T14:03:49.72131,1145,Normal,hpinzon,2025-09-05T14:39:11.556117,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515200  -  VRD LAGUNETA LT B 100,01:03:15.916607,2.0,0.0,2025-09-05T14:01:59.987013,,ARDISA ENTREGA,231038,515200,,,,Auditoria Picking,0.0,98,65.0,2025-09-05T14:01:39.219822,1145,Normal,hpinzon,2025-09-05T14:36:26.383579,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515116  -  CRA 16 27 65,00:42:33.304074,1.0,0.0,2025-09-05T14:01:59.987013,,VENTA PUNTUAL,231036,515116,,,,Auditoria Picking,0.0,98,2.0,2025-09-05T14:01:39.219822,1145,Normal,hpinzon,2025-09-05T14:57:08.996112,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515176  -  CRA 16 27 65,01:00:00.841195,5.0,0.0,2025-09-05T14:01:59.987013,,PRODUCCIÒN,231037,515176,,,,Auditoria Picking,0.0,98,41.0,2025-09-05T14:01:39.219822,1145,Normal,hpinzon,2025-09-05T14:39:41.458991,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515257  -  CRA 16 27 65,01:00:16.348067,1.0,0.0,2025-09-05T14:01:59.987013,,VENTA PUNTUAL,231039,515257,,,,Auditoria Picking,0.0,98,30.0,2025-09-05T14:01:39.219822,1145,Normal,hpinzon,2025-09-05T14:39:25.952119,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515268  -  CRA 16 27 65,01:00:21.033102,3.0,0.0,2025-09-05T14:01:59.987013,,VENTA PUNTUAL,231040,515268,,,,Auditoria Picking,0.0,98,80.0,2025-09-05T14:01:39.219822,1145,Normal,hpinzon,2025-09-05T14:39:21.267084,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515287  -  CRA 16 27 65,01:00:26.023637,1.0,0.0,2025-09-05T14:01:59.987013,,VENTA PUNTUAL,231041,515287,,,,Auditoria Picking,0.0,98,5.0,2025-09-05T14:01:39.219822,1145,Normal,hpinzon,2025-09-05T14:39:16.276549,Running,2025-09-06T00:00:00,2025-09-05 15:39:43
515331 MADERA ALT 10 PICKING,00:00:19.369988,1.0,2.0,2025-09-05T14:03:27.320334,,VENTA PUNTUAL,231035,515332,,,Orden No. 144846,Picking,1.0,98,2.0,2025-09-05T14:01:26.058356,1145,Muy baja,jvaca,2025-09-05T14:43:17.544133,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
"515326 Madera, Crear Media Lamina Bog",00:01:14.356857,1.0,0.5,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231034,515329,,2025-09-05T14:30:35.084163,Orden No. 144845,Picking,1.0,98,0.5,2025-09-05T14:01:15.18268,1290,Muy baja,lortiz,2025-09-05T14:16:40.515926,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515326 Madera F5,F6,F7 Y F8<A10",00:02:24.898771,1.0,1.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231032,515327,,2025-09-05T14:34:22.759889,Orden No. 144845,Picking,1.0,98,1.0,2025-09-05T14:01:15.18268,1290,Muy baja,lortiz,2025-09-05T14:16:51.902308,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515326 Madera F5,F6,F7 Y F8",00:02:29.285489,1.0,2.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231033,515328,,2025-09-05T14:32:35.575995,Orden No. 144845,Picking,1.0,98,2.0,2025-09-05T14:01:15.18268,1290,Muy baja,lortiz,2025-09-05T14:16:47.360119,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515323 Madera F5,F6,F7 Y F8<A10",00:04:17.124922,2.0,4.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231031,515324,,2025-09-05T14:37:01.590059,Orden No. 144844,Picking,1.0,98,4.0,2025-09-05T14:01:01.347138,1290,Muy baja,lortiz,2025-09-05T14:31:54.167323,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
515317 Maderas Medias Laminas Bog,00:01:18.500351,1.0,0.5,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231029,515320,,2025-09-05T14:39:25.387578,Orden No. 144843,Picking,1.0,98,0.5,2025-09-05T14:00:52.138543,1290,Muy baja,lortiz,2025-09-05T14:33:52.633138,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515317 Madera F5,F6,F7 Y F8<A10",00:02:12.354272,2.0,4.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231027,515318,,2025-09-05T14:46:24.860162,Orden No. 144843,Picking,1.0,98,4.0,2025-09-05T14:00:52.138543,1290,Muy baja,lortiz,2025-09-05T14:33:58.266825,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515317 Madera F5,F6,F7 Y F8",00:04:37.77782,2.0,3.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231028,515319,,2025-09-05T14:44:13.62412,Orden No. 144843,Picking,1.0,98,3.0,2025-09-05T14:00:52.138543,1290,Muy baja,lortiz,2025-09-05T14:38:48.875373,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515317 Madera, Crear Media Lamina Bog",00:00:53.507055,1.0,0.5,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231030,515321,,2025-09-05T14:38:00.337422,Orden No. 144843,Picking,1.0,98,0.5,2025-09-05T14:00:52.138543,1290,Muy baja,lortiz,2025-09-05T14:33:42.541588,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515313 Madera F5,F6,F7 Y F8<A10",00:01:04.490173,1.0,4.0,2025-09-05T14:10:03.39546,,PRODUCCIÒN,231025,515314,,2025-09-05T14:52:27.550214,Orden No. 144842,Picking,1.0,98,4.0,2025-09-05T14:00:43.234128,1290,Muy baja,lortiz,2025-09-05T14:45:38.967542,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
